Name	AREA	Category	Photo	Latitude	Longitude
Pappas Pet Center	Paiania	Pet Shop		37,93852	23,8759
Araxwvitis	Paiania	Pet Shop		37,95533	23,85223
Access Group	Paiania	Pet Shop		37,96806	23,90618
Animalitos	Pefki	Pet Shop		37,99119	23,80173
Pet Fantasy	Peiraias	Pet Shop		37,94283	23,65095
Xatzigeorgiou	Peiraias	Pet Shop		37,94677	23,64527
AigHis	Peiraias	Pet Shop		37,9426	23,6476
Voutsinos	Peiraias	Pet Shop		37,93298	23,64202
Iatriki Zoon	Peiraias	Dog Hospital		37,93259	23,64482
Skylou Gata	Peiraias	Pet Shop		37,9509	23,6411
Sai Ioanna	Peiraias	Pet Shop		37,94678	23,6436
Pet Land	Peiraias	Pet Shop		37,9281	23,63868
Argos	Peiraias	Pet Shop		37,9322	23,64314
Cosmozoo	Peiraias	Pet Shop		37,9396	23,64402
Pet Smart	Peiraias	Pet Shop		37,9509	23,6411
Pet Star Sarantos	Peiraias	Pet Shop		37,9417	23,6483
New	Peiraias	Pet Shop		37,95728	23,63508
Ydatinos Kosmos	Peiraias	Pet Shop		37,95338	23,63858
Flora's Pet Salon	Peiraias	Pet Shop		37,93632	23,6451
My Pet It	Peiraias	Pet Shop		37,9453	23,65214
Pet Land	Peiraias	Pet Shop		37,93636	23,64055
To Spiti twn Zwwn	Peiraias	Pet Shop		37,93045	23,63506
Lyberopoulos	Peiraias	Pet Shop		37,94717	23,64365
					
Zoobazaar	Athens			ok	
Zoofilos petshop	Athens				
Pet Stories	Athens				
Pet Shop Farma	Athens				
Pet Shop Iwanna's	Athens				
The Pet Shop	Athens				
Petland	Athens				
Petnet	Athens				
puupy Love	Athens				
Fellow Pet	Athens				
Leo's Corner	Athens				
Amazon	Athens				
Pets &Friends	Athens				
Pets &Friends	Athens				
					
					
Gerostathos	Athens			37,97273	23,71039
Africa	Athens			38,00679	23,74936
Pet Club	Athens			37,99331	23,76854
Fanaras	Athens			37,99503	23,75035
Mpimpita	Athens			37,99789	23,74164
Magic Pet	Athens			37,98099	23,72757
Zwaki				38,02209	23,73874
Pet Flower				37,95234	23,72654
Panou				38,00315	23,74928
Pet Care				37,978	23,70603
Papatheodorou				38,00196	23,73727
