Breed	Origin	Minimum Weight(Kg)	Maximum weight(Kg)	Recommended Daily Walk(klm)	Recommended Daily Play(mins)	American Kennel Club
Spanish Water Dog	Spain	14	22	4	60	FSS
Stabyhoun	Netherlands	18	25	4	30	FSS
Tosa	Japan	38	50	4	30	FSS
Caucasian Shepherd Dog	Armenia	25	35	6	30	FSS
Central Asian Shepherd Dog	Russia	25	35	6	45	FSS
Estrela Mountain Dog	Portugal	25	35	4	45	FSS
Perro de Presa Canario	Spain	30	48	4	30	FSS
Rafeiro do Alentejo	Portugal	45	60	4	30	FSS
Slovak Cuvac	Slovakia	30	45	4	30	FSS
Bolognese	Italy	3	5	2	10	FSS
Coton de Tulear	Madagascar	6	8	2	10	FSS
Russian Toy	Russia	3	6	2	10	FSS
Cirneco dell'Etna	Italy	10	14	4	30	FSS
Czechoslovak Wolfdog	Czechoslovakia	25	35	6	60	
Danish Swedish Farmdog	Denmark, Sweden	7	12	4	30	FSS
Kai Ken	Japan	10	15	4	30	FSS
Kishu	Japan	13	27	4	30	FSS
Lancashire Heeler	England	3	7	4	30	FSS
Spanish Mastiff	Spain	90	100	4	45	FSS
Swedish Lapphund	Sweden	15	24	6	45	FSS
Appenzeller Sennenhund	Switzerland	22	32	4	30	FSS
Dogo Argentino	Argentina	40	60	6	60	FSS
Galgo Espaρol	Spain	20	30	4	30	Sighthound and Pariah
Polish Greyhound	Poland	20	30	4	30	Sighthound and Pariah
Silken Windhound	United States	20	30	4	30	Sighthound and Pariah
Greek Harehound	Greece	20	30	4	30	Scenthound Group
Alpine Dachsbracke	Austria	15	18	4	30	Scenthound
Anglo-Franηais de Petite Vιnerie	France	20	22	4	30	Scenthound
Ariegeois	France	15	18	4	30	Scenthound
Basset Artιsien Normand	France	15	18	4	60	Scenthound
Basset Bleu de Gascogne	France	15	18	6	60	Scenthound
Beagle-Harrier	France	10	15	6	60	Scenthound
Blackmouth Cur	United States	20	43	6	30	Scenthound
Bleu de Gascogne, Grand	France	22	35	4	60	Scenthound
Bleu de Gascogne, Petit	France	18	22	6	30	Scenthound
Bosnian Coarse- haired Hound	Bosnia and Herzegovina	18	22	4	30	Scenthound
Chien Franηais Blanc et Noir	France			4	20	Scenthound
Chien Franηais Blanc et Orange	France			4	20	Scenthound
Chien Franηais Tricolore	France			4	20	Scenthound
Drever	Sweden	14	16	2	20	Scenthound
Dunker	Norway	11	18	2	20	Scenthound
Finnish Hound	Finland	20	25	6	60	Scenthound
Gascon Saintongeois	France			6	60	Scenthound
Grand Anglo- Franηais Blanc et Noir	France			6	60	Scenthound
Grand Anglo- Franηais Blanc et Orange	France			6	60	Scenthound
Grand Anglo- Franηais Tricolore	France			6	60	Scenthound
Griffon Bleu de Gascogne	France			2	60	Scenthound
Griffon Fauve de Bretagne	France			2	10	Scenthound
Griffon Nivernais	France			2	10	Scenthound
Hamiltonstφvare	Sweden			6	60	Scenthound
